고유번호,언어,상호명,신주소,전화번호,웹사이트,운영시간,운영요일,휴무일,교통정보,,,,
5405,ko,서울애니메이션센터,04631 서울 중구 소공로 48 (회현동2가 우리금융남산타워) 1~2층,2층 애니소풍 02-3455-8341~2 / 1층 만화의집 02-3455-8330 8335,http://ani.seoul.kr/,1층 만화의집 10:00~20:00 2층 애니소풍 10:00~18:00 ,화~토,#NAME?,4호선 명동역 4번 출구 회현역 3번 출구,,,,
23518,ko,서울새활용플라자,04807 서울 성동구 자동차시장길 49 (용답동 서울새활용플라자) ,02-2153-0400,http://www.seoulup.or.kr/,10:00~18:00,화~일 ,#NAME?,5호선 장한편역 8번 출구 도보 10분 셔틀버스 소요시간 5분 * 셔틀버스는 장한평역 8번 출구 앞에서 30분 단위 운영   (운영 시간표는 홈페이지 참고) ,,,,
1912,ko,서울시민 광나루안전체험관,04991 서울 광진구 능동로 238 (능동 서울시민안전체험관광나루) ,02-2049-4061,http://safe119.seoul.go.kr/,평일 공휴일 AM 09:00 ~ PM 05:00 ※ 수요일 야간체험은 오후 7시에서 오후 9시까지 운영한다. ,화~일,#NAME?,5호선 군자 군자역 6번출구 도보 10분거리 7호선 어린이대공원 1번 출구 도보 5분거리,,,,
5248,ko,KBS 온(ON),07235 서울 영등포구 여의공원로 13 (한국방송공사) ,02-781-2224,http://office.kbs.co.kr/kbson/,AM 09:30 ~ PM 05:30(입장마감 PM 05:00),월~일,#NAME?,9호선 국회의사당 4번 출구  ,,,,
1257,ko,LG아트센터,06141 서울 강남구 논현로 508 (GS강남타워) ,02-2005-0114,http://www.lgart.com/UIPage/Main.aspx,09:00 ~ 18:00  ＊공연이 있을 경우 변동사항이 있을 수 있음,월~금,#NAME?,2호선 역삼역 7번 출구 GS타워 지하 1층과 연결,,,,
24325,ko,댄스뮤지컬 사춤 ,03068 서울 종로구 혜화로 17 (명륜1가) 미마지아트센터 눈빛극장,02-3676-7616,http://www.sachoom.com/,수~금: 20:00~ 토 일 공휴일: 15:00~,수~일,#NAME?,4호선 혜화역 4번 출구,,,,
6228,ko,국립국악원,06757 서울 서초구 남부순환로 2364 (서초동 국립국악원) ,02-580-3300,http://www.gugak.go.kr,공연 일정에 따라 다름,,#NAME?,3호선 남부터미널 5번출구 나와 초록버스 4429번 이용 7호선 내방 3번출구 나와 마을버스 서초07번 서초15번 이용 2호선 방배 1번출구 나와 마을버스 서초07번 서초15번 서초17번 이용,,,,
29568,ko,무계원,03022 서울 종로구 창의문로5가길 2 (부암동) ,02-379-7131,https://www.jfac.or.kr/site/main/content/moogw01,,,#NAME?,3호선 경복궁역 3번 출구 ,,,,
2039,ko,떡박물관,03132 서울 종로구 돈화문로 71 (와룡동 떡박물관) ,02-741-5447,http://www.tkmuseum.or.kr,월~토요일(10:00~18:00) (17시 30분까지 입장완료) ,,#NAME?,1호선 종로3가역 7번 출구 도보 3분 3호선 종로3가역 7번 출구 도보 3분 5호선 종로3가역 7번 출구 도보 3분 ,,,,
22602,ko,성재전통건축자료관,03057 서울 종로구 창덕궁1가길 19 (원서동) ,02-742-1311,https://sungjaemuseum.modoo.at/,10:00~17:00 ,,화요일 ,3호선 안국역 3번 출구,,,,
18900,ko,초고공방 고드랫돌,03055 서울 종로구 북촌로11나길 1-6 (가회동) ,,,10:00 - 17:00,,화 목 ,3호선 안국역 2번 출구,,,,
6493,ko,한국문화의집 코우스(KOUS),135-280 서울특별시 강남구 테헤란로92길 12-9  (대치동) ,02-3011-1788,http://www.kous.or.kr,프로그램에 따라 다름,,프로그램에 따라 다름,2호선 삼성역 4번 출구 도보 300m,,,,
1761,ko,서울놀이마당,05608 서울 송파구 삼학사로 136 (잠실동 서울놀이마당) ,02-414-1985,http://culture.songpa.go.kr/user.kdf?a=songpa.culture.play.CultureApp&c=1001&cul_title=1&cate_id=AM0302001000_1_,주말상설공연 : 매년 4월 ~ 10월 - 매주 일요일 오후3시  민속절 공연 : 설날 정월대보름 추석 등,주말 및 민속절,평일 공연일 제외한 일요일,8호선 잠실 3번 출구 도보 10분 2호선 잠실 3번 출구 도보 10분  ,,,,
18892,ko,전통연공방　,03051 서울 종로구 창덕궁5길 4 (원서동) ,?02-720-4114,http://www.kokfa.or.kr/,AM 10:00 ~ PM 05:00 ,월요일~금요일 ,토요일 일요일 ,3호선 안국역 3번 출구,,,,
2925,ko,국기원,06130 서울 강남구 테헤란로7길 32 (역삼동 국기원) ,02-567-1058,http://www.kukkiwon.or.kr,AM 09:00 ~ PM 05:30,,토 일요일 및 공휴일,9호선 신논현 45번 출구 2호선 강남 12번 출구,,,,
1459,ko,리기태전통연공방,03051 서울 종로구 창덕궁5길 4 (원서동)   ,02-720-4114,http://www.kokfa.or.kr,평일 AM 10:00 ~ PM 05:00,,주말 휴무,3호선 안국역 3번 출구 도보 20분,,,,
23538,ko,서울바이오허브,02455 서울 동대문구 회기로 117-3 (회기동 한국농촌경제연구원) ,02-2200-3300,http://www.seoulbiohub.kr/front/user/main.do;jsessionid=85FCA772594C3F64A64CE3523FADA8A6,09:00~18:00,월~금,주말 및 국가 공휴일,1호선 회기역 1번 출구  6호선 고려대역 3번 출구,,,,
