PlaceNumber,Class,PlaceName,LineNumber,Station,Address,Telephone,Image,Website,OpeningHours,Fee,Closed,PayFree
1,미술관,ADM 갤러리,2,역삼역,서울 강남구 역삼로14길 20,02-554-0594,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=372f7ac47341428b86e646bd131a4d49&thumb=Y,https://www.admgallery.co.kr/,,0,일요일,무료
2,공연/전시장,CKL 스테이지,1,종각역,서울 중구 청계천로 40,02-6441-3951,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101260&thumb=Y,https://venture.ckl.or.kr/stage/info/location.do,,,,
3,문화예술회관,DDP,"2, 4, 5",동대문역사문화공원역,서울 중구 을지로 281,02-2153-0000,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=04ae3506f18f4fb39a8553095364f973&thumb=Y,http://www.ddp.or.kr/main,,,살림터 : 매월 세 번째 주 월요일 / 배움터 : 매주 월요일,무료
4,공연/전시장,JCC 아트센터,4,혜화역,서울 종로구 혜화동  창경궁로35길 29,02-2138-7373~4,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100931&thumb=Y,www.jeijcc.org,,,매주 월요일,
5,미술관,kp 갤러리,"1, 4, 공항",서울역,서울 용산구 소월로2나길 12,02-706-6751,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101532&thumb=Y,www.kpgallery.co.kr,,,일요일 국정공휴일,무료
6,공연/전시장,KT&G 상상아트홀,2,삼성역,서울 강남구 대치동 영동대로 416,02-3404-4311,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100015&thumb=Y,http://www.sangsangarthall.com/,,,,유료
7,공연/전시장,KT체임버홀,5,오목교역,서울 양천구 목동서로 201,02-3414-2063,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101474&thumb=Y,http://www.ktchamberhall.com/,,,없음,
8,미술관,LG 사이언스홀,5,여의나루역,서울 영등포구 여의도동 20,02-3773-1053,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100285&thumb=Y,http://www.lgscience.co.kr/,월~금  09:15 ~ 11:15 13:30~16:00토 09:15 ~ 11:15 13:30~15:30,무료(사전예약제),일요일 공휴일,유료
9,공연/전시장,LG아트센터,2,역삼역,서울 강남구 역삼동 논현로 508,02-2005-0114,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100704&thumb=Y,http://www.lgart.com,평일 : 오전9시 ~ 오후6시,,토일 공휴일,무료
10,기타,N서울타워,3,동대입구역,서울 용산구 용산동2가 1-3,02-3455-9277,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100291&thumb=Y,http://www.nseoultower.com,홈페이지 참조,홈페이지 참조,,유료
