ProgramNumber,Category,ProgramName,PlaceName,Image,StartDay,EndDay,TargetAudience,Fee
1,국악,판소리 레미제라블 ＜구구선 사람들＞,북서울꿈의숲,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=05fe082236a84491a8fc9d0b6b95e6fb&thumb=Y,2022-03-10,2022-03-11,만 13세 이상관람,전석 30000원
2,기타,서울풍물시장 청춘1번가,서울풍물시장,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fe21f77519214bbea8ef82c1bb194fd5&thumb=Y,2022-01-01,2022-12-31,전체 이용,무료
3,기타,서울풍물시장 전통문화체험관,서울풍물시장,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=97bb5fbe549d416abacb2a0c03969233&thumb=Y,2022-01-01,2022-12-31,전체 이용,무료
4,기타,[서울새활용플라자] 탐방:새활용이야기,서울새활용플라자,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f81ed29c1c854c55887e6eb81bae05e6&thumb=Y,2022-03-01,2022-03-31,전 연령,
5,기타,[한성백제박물관] 3월 문화가 있는 날 연계행사,한성백제박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ff893c6aad394f3bae082dd44f7d59b5&thumb=Y,2022-03-30,2022-03-30,관람객 누구나,
6,기타,[한성백제박물관] 3월 한성백제박물관 문화시네마,한성백제박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e074630b4c35482c9ccdfbfd746b4db8&thumb=Y,2022-03-30,2022-03-30,관람객 누구나,
7,독주/독창회,권효진 귀국 피아노 독주회,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e7c0057bb43a4ffca8608de48f52728e&thumb=Y,2022-03-15,2022-03-15,만 7세이상 입장가능,전석 20000원 
8,독주/독창회,신수정 피아노 독주회,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e3ecb5d0dec34ef79d3e8af14a3ac70a&thumb=Y,2022-03-09,2022-03-09,미취학아동 입장불가,전석 20000원
9,독주/독창회,김아름 피아노 독주회,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8b344606944642ceb6126918b03b960e&thumb=Y,2022-03-12,2022-03-12,만 7세 이상 입장,전석 20000원 
10,독주/독창회,소프라노 김지영 독창회,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ff52847ea4b942e18ec0b7dd8f196d03&thumb=Y,2022-03-04,2022-03-04,8세이상 입장가능,전석 20000원
11,독주/독창회,이동욱 호른 독주회,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7f925c1fbc8f4b9dbb47e910b2cfca0e&thumb=Y,2022-03-06,2022-03-06,미취학아동 입장불가,전석 20000원
12,독주/독창회,트럼펫터 노민호의 봄의향연,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8b1dc74204994ecda5dfc17753bc4fc4&thumb=Y,2022-03-19,2022-03-19,만 7세 이상,전석 20000원
13,독주/독창회,김남중 비올라 독주회-활이 춤춘다 VI,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=52c3ad9ab82a4bd6992ba0524f99f8db&thumb=Y,2022-03-10,2022-03-10,미취학아동 입장불가 ,R석 70000원 S석 50000원 A석 30000원
14,독주/독창회,양혜순 비올라 독주회,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8b72700aa88c4972bf33e215982c1d94&thumb=Y,2022-03-22,2022-03-22,미취학아동입장불가,전석 20000원
