역이름,lat,lng,호선
신도림역,37.5089,126.89131,2호선
대림역,37.4933,126.89493,2호선
구로디지털단지역,37.48525,126.90147,2호선
신대방역,37.48764,126.9135,2호선
신림역,37.48426,126.92974,2호선
봉천역,37.48247,126.94168,2호선
서울대입구역,37.48128,126.9527,2호선
낙성대역,37.47709,126.96351,2호선
사당역,37.47655,126.98155,2호선
방배역,37.48146,126.99754,2호선
서초역,37.49184,127.00764,2호선
교대역,37.49274,127.01386,2호선
강남역,37.49809,127.02798,2호선
역삼역,37.50066,127.03646,2호선
선릉역,37.50449,127.04895,2호선
삼성역,37.50881,127.06302,2호선
종합운동장역,37.51113,127.07384,2호선
잠실새내역,37.51161,127.0863,2호선
잠실역,37.51331,127.10022,2호선
잠실나루역,37.52069,127.1038,2호선
강변역,37.53512,127.09472,2호선
구의역,37.53716,127.08617,2호선
건대입구역,37.5404,127.0692,2호선
성수역,37.54459,127.05606,2호선
뚝섬역,37.54724,127.04737,2호선
한양대역,37.55571,127.04362,2호선
왕십리역,37.56126,127.03708,2호선
상왕십리역,37.56443,127.02927,2호선
신당역,37.56566,127.01947,2호선
동대문역사문화공원역,37.56565,127.00899,2호선
을지로4가역,37.56664,126.99762,2호선
을지로3가역,37.56628,126.99097,2호선
을지로입구역,37.56602,126.98218,2호선
시청역,37.56534,126.97718,2호선
충정로역,37.55975,126.96448,2호선
아현역,37.5574,126.95613,2호선
이대역,37.5568,126.94642,2호선
신촌역,37.5552,126.93696,2호선
홍대입구역,37.55686,126.92376,2호선
합정역,37.5499,126.91445,2호선
당산역,37.53477,126.90261,2호선
영등포구청역,37.52583,126.89667,2호선
문래역,37.51797,126.89476,2호선
신도림역,37.5089,126.89131,2호선
신도림역,37.5089,126.89131,2호선_1
도림천역,37.5145,126.88264,2호선_1
양천구청역,37.51237,126.86572,2호선_1
신정네거리역,37.52022,126.85288,2호선_1
까치산역,37.53223,126.84643,2호선_1
성수역,37.54459,127.05606,2호선_2
용답역,37.56212,127.05089,2호선_2
신답역,37.56984,127.04707,2호선_2
용두역,37.57405,127.03826,2호선_2
신설동역,37.57602,127.02445,2호선_2
대화역,37.67614,126.74749,3호선
주엽역,37.67014,126.76125,3호선
정발산역,37.65947,126.77341,3호선
마두역,37.65224,126.7776,3호선
백석역,37.64296,126.78812,3호선
대곡역,37.63168,126.81092,3호선
화정역,37.63463,126.83267,3호선
원당역,37.6531,126.84291,3호선
원흥역,37.65068,126.87302,3호선
삼송역,37.65307,126.89565,3호선
지축역,37.64815,126.91384,3호선
구파발역,37.63642,126.91883,3호선
연신내역,37.61919,126.9211,3호선
불광역,37.61004,126.9303,3호선
녹번역,37.6008,126.93581,3호선
홍제역,37.58879,126.94416,3호선
무악재역,37.58256,126.95023,3호선
독립문역,37.57447,126.95791,3호선
경복궁역,37.57579,126.97367,3호선
안국역,37.57649,126.98542,3호선
종로3가역,37.57042,126.99214,3호선
을지로3가역,37.56628,126.99097,3호선
충무로역,37.56139,126.99414,3호선
동대입구역,37.55905,127.0053,3호선
약수역,37.55449,127.01089,3호선
금호역,37.54826,127.01582,3호선
옥수역,37.54155,127.01738,3호선
압구정역,37.52648,127.02849,3호선
신사역,37.51643,127.02029,3호선
잠원역,37.51288,127.0114,3호선
고속터미널역,37.50454,127.00513,3호선
교대역,37.49274,127.01386,3호선
남부터미널역,37.48519,127.01619,3호선
양재역,37.48457,127.03415,3호선
매봉역,37.48693,127.0467,3호선
도곡역,37.49098,127.0555,3호선
대치역,37.49449,127.06319,3호선
학여울역,37.49688,127.07115,3호선
대청역,37.4937,127.07952,3호선
일원역,37.48399,127.08412,3호선
수서역,37.48528,127.10445,3호선
가락시장역,37.49309,127.11826,3호선
경찰병원역,37.49599,127.12448,3호선
오금역,37.50213,127.12793,3호선
임진강역,37.88826,126.74706,경의선
문산역,37.85461,126.78738,경의선
파주역,37.81536,126.79269,경의선
월롱역,37.7962,126.79256,경의선
금촌역,37.76615,126.7746,경의선
금릉역,37.75132,126.76539,경의선
운정역,37.72559,126.76715,경의선
야당역,37.71261,126.76145,경의선
탄현역,37.69397,126.76106,경의선
일산역,37.68201,126.77,경의선
풍산역,37.67233,126.78627,경의선
백마역,37.65802,126.7946,경의선
곡산역,37.64576,126.8018,경의선
대곡역,37.63168,126.81092,경의선
능곡역,37.61901,126.82042,경의선
행신역,37.61197,126.83428,경의선
강매역,37.61229,126.84449,경의선
화전역,37.60331,126.86839,경의선
수색역,37.58081,126.89564,경의선
디지털미디어시티역,37.576,126.90126,경의선
가좌역,37.56875,126.91481,경의선
홍대입구역,37.55686,126.92376,경의선
서강대역,37.55213,126.93549,경의선
공덕역,37.54453,126.95143,경의선
효창공원앞역,37.53929,126.96139,경의선
용산역,37.53007,126.96482,경의선
이촌역,37.52245,126.97333,경의선
서빙고역,37.51955,126.98839,경의선
한남역,37.52943,127.00919,경의선
옥수역,37.54155,127.01738,경의선
응봉역,37.54995,127.03447,경의선
왕십리역,37.56126,127.03708,경의선
청량리역,37.58072,127.0485,경의선
회기역,37.58978,127.05804,경의선
중랑역,37.59483,127.07566,경의선
상봉역,37.5967,127.08574,경의선
망우역,37.59929,127.09236,경의선
양원역,37.60668699,127.1080082,경의선
구리역,37.60326,127.14335,경의선
도농역,37.60877,127.16116,경의선
양정역,37.60401,127.19467,경의선
덕소역,37.58689,127.20882,경의선
도심역,37.57964,127.22268,경의선
팔당역,37.54736,127.24395,경의선
운길산역,37.55464,127.31023,경의선
양수역,37.54596,127.32913,경의선
신원역,37.52557,127.37307,경의선
국수역,37.51617,127.39929,경의선
아신역,37.51391,127.44321,경의선
오빈역,37.50615,127.47366,경의선
양평역,37.49282051,127.4918222,경의선
원덕역,37.46877,127.54656,경의선
용문역,37.48261,127.59437,경의선
지평역,37.47688,127.62967,경의선
가좌역,37.56875,126.91481,경의선_1
신촌역,37.5552,126.93696,경의선_1
서울역,37.55332,126.96974,경의선_1
인천역,37.47615,126.61682,1호선
동인천역,37.47541,126.6326,1호선
도원역,37.46877,126.64251,1호선
제물포역,37.46672,126.65695,1호선
도화역,37.46611,126.66857,1호선
주안역,37.46504,126.67995,1호선
간석역,37.4647,126.69351,1호선
동암역,37.47068,126.70287,1호선
백운역,37.48333,126.70728,1호선
부평역,37.48944,126.72433,1호선
부개역,37.48847,126.74073,1호선
송내역,37.48761,126.75303,1호선
중동역,37.48666,126.76452,1호선
부천역,37.48398,126.78307,1호선
소사역,37.48279,126.79563,1호선
역곡역,37.48531,126.81206,1호선
온수역,37.49196,126.82383,1호선
오류동역,37.49438,126.84481,1호선
개봉역,37.49463,126.85869,1호선
구일역,37.49625,126.86968,1호선
구로역,37.50333,126.88229,1호선
신도림역,37.5089,126.89131,1호선
영등포역,37.51568,126.90786,1호선
신길역,37.51678,126.91835,1호선
대방역,37.51335,126.92648,1호선
노량진역,37.51357,126.94089,1호선
용산역,37.53007,126.96482,1호선
남영역,37.54056,126.97133,1호선
서울역,37.55332,126.96974,1호선
시청역,37.56534,126.97718,1호선
종각역,37.57022,126.98313,1호선
종로3가역,37.57042,126.99214,1호선
종로5가역,37.57096,127.00154,1호선
동대문역,37.57166,127.01062,1호선
동묘앞역,37.57321,127.01635,1호선
신설동역,37.57602,127.02445,1호선
제기동역,37.57816,127.03494,1호선
청량리역,37.58072,127.0485,1호선
회기역,37.58978,127.05804,1호선
외대앞역,37.59626,127.06368,1호선
신이문역,37.60177,127.06738,1호선
석계역,37.615,127.06567,1호선
광운대역,37.62383,127.06169,1호선
월계역,37.63326,127.05884,1호선
녹천역,37.64463,127.05137,1호선
창동역,37.65332,127.04764,1호선
방학역,37.66743,127.04432,1호선
도봉역,37.6792,127.04553,1호선
도봉산역,37.68956,127.04605,1호선
망월사역,37.71021,127.0474,1호선
회룡역,37.7238,127.04728,1호선
의정부역,37.73836,127.04595,1호선
가능역,37.74839,127.04427,1호선
녹양역,37.75939,127.04226,1호선
양주역,37.77412,127.04472,1호선
덕계역,37.81875,127.05667,1호선
덕정역,37.84318,127.06155,1호선
지행역,37.89187,127.05566,1호선
동두천중앙역,37.90177,127.05642,1호선
보산역,37.91414,127.05716,1호선
동두천역,37.92761,127.05491,1호선
소요산역,37.94888,127.06112,1호선
구로역,37.50333,126.88229,1호선_1
가산디지털단지역,37.48039,126.88264,1호선_1
독산역,37.46596,126.88947,1호선_1
금천구청역,37.45618,126.8936,1호선_1
석수역,37.43509,126.90231,1호선_1
관악역,37.41956,126.9085,1호선_1
안양역,37.40185,126.92263,1호선_1
명학역,37.38445,126.93559,1호선_1
금정역,37.37246,126.94346,1호선_1
군포역,37.35419,126.94851,1호선_1
당정역,37.34368,126.94836,1호선_1
의왕역,37.32034,126.94797,1호선_1
성균관대역,37.30033,126.97101,1호선_1
화서역,37.28399,126.9896,1호선_1
수원역,37.26579,127.00009,1호선_1
세류역,37.24387,127.0138,1호선_1
병점역,37.20675,127.03319,1호선_1
세마역,37.18712,127.04343,1호선_1
오산대역,37.16934,127.06308,1호선_1
오산역,37.1447,127.06661,1호선_1
진위역,37.11007,127.06235,1호선_1
송탄역,37.07571,127.05427,1호선_1
서정리역,37.05655,127.05286,1호선_1
평택지제역,37.01877,127.06983,1호선_1
평택역,36.99097,127.08528,1호선_1
성환역,36.91612,127.12688,1호선_1
직산역,36.87092,127.14381,1호선_1
두정역,36.83359,127.14907,1호선_1
천안역,36.80899,127.14683,1호선_1
봉명역,36.80142,127.13603,1호선_1
쌍용역,36.79372,127.12136,1호선_1
아산역,36.7946,127.10436,1호선_1
탕정역,36.78847,127.08464,1호선_1
배방역,36.7777,127.05278,1호선_1
온양온천역,36.78054,127.00318,1호선_1
신창역,36.76962,126.95139,1호선_1
금천구청역,37.45618,126.8936,1호선_2
광명역,37.41644,126.8848,1호선_2
병점역,37.20675,127.03319,1호선_3
서동탄역,37.19573,127.05186,1호선_3
검단오류역,37.59494,126.62789,인천이호선
왕길역,37.59513,126.64248,인천이호선
검단사거리역,37.60165,126.65642,인천이호선
마전역,37.59763,126.66722,인천이호선
완정역,37.59284,126.67301,인천이호선
독정역,37.58484,126.67599,인천이호선
검암역,37.56925,126.67364,인천이호선
검바위역,37.56111,126.67752,인천이호선
아시아드경기장역,37.55131,126.67709,인천이호선
서구청역,37.54403,126.67683,인천이호선
가정역,37.52482,126.67535,인천이호선
가정중앙시장역,37.51752,126.67681,인천이호선
석남역,37.50747,126.67628,인천이호선
서부여성회관역,37.50033,126.67586,인천이호선
인천가좌역,37.48982,126.67523,인천이호선
가재울역,37.48413,126.68376,인천이호선
주안국가산단역,37.47391,126.68122,인천이호선
주안역,37.46504,126.67995,인천이호선
시민공원역,37.45837,126.68106,인천이호선
석바위시장역,37.45767,126.69234,인천이호선
인천시청역,37.45773,126.70222,인천이호선
석천사거리역,37.45677,126.71041,인천이호선
모래내시장역,37.45586,126.71961,인천이호선
만수역,37.45497,126.73173,인천이호선
남동구청역,37.44817,126.73655,인천이호선
